5,22,3,13,32,0,0,0,0,1,0,0,10,7,2,1,5,0,8,4,10,18,4,1
6,22,4,13,55,1,5,4,0,0,0,11,26,7,3,1,5,2,14,5,11,22,2,0
7,22,5,13,43,1,1,1,1,0,0,1,10,9,5,3,5,3,8,7,10,25,1,0
8,22,5,13,6,1,0,0,0,0,0,0,1,1,2,1,0,0,1,1,2,4,1,0
9,22,5,13,6,1,1,1,2,1,0,1,3,2,0,0,0,0,2,1,1,1,2,0
10,22,6,13,42,0,2,2,2,0,0,3,14,9,5,2,7,1,12,7,12,19,3,0
11,22,7,13,33,0,2,2,0,0,3,3,7,6,4,0,6,2,4,6,10,28,2,0
12,22,8,13,42,0,3,3,2,0,0,4,13,6,6,3,5,3,9,5,10,23,3,0
13,22,8,13,29,0,2,1,0,0,0,2,12,6,2,2,2,1,10,5,8,14,3,0
14,22,9,13,26,0,2,1,0,0,0,2,11,3,3,1,3,1,8,3,6,10,1,0
15,22,9,13,14,0,0,0,0,0,1,1,7,2,0,0,2,1,5,2,3,6,1,0
16,22,10,13,28,0,2,2,1,1,0,3,12,3,3,0,4,1,8,2,4,7,2,0
17,22,10,13,17,0,2,1,0,0,0,2,6,4,1,0,1,1,5,3,6,9,2,0
18,22,11,13,33,0,4,3,1,0,0,6,14,4,4,0,4,0,9,4,10,20,4,0
19,22,12,13,49,0,5,4,3,1,1,7,15,11,2,3,6,2,11,8,15,33,3,0
20,22,13,13,10,1,1,1,1,0,0,1,3,2,1,0,1,0,2,2,4,7,2,0
21,22,13,13,13,1,1,1,0,0,0,1,3,2,1,1,3,0,3,2,4,7,1,0
22,22,13,13,6,1,0,0,0,0,0,0,0,3,0,0,1,0,0,2,2,5,0,0
1,5,1,1,29,0,3,2,1,1,0,7,15,1,2,0,6,0,8,1,3,5,5,1
2,5,1,1,34,0,3,1,0,1,0,2,12,7,1,1,5,1,9,5,11,20,2,0
3,5,1,1,6,0,2,1,0,0,0,1,3,2,0,0,0,0,2,1,3,4,1,0
4,5,1,1,37,0,2,1,1,0,0,5,16,4,3,1,4,2,11,4,11,20,2,0
5,5,1,1,25,0,1,1,0,1,0,2,9,5,1,1,5,0,7,4,7,12,3,0
1,22,1,22,21,0,5,2,6,2,0,6,10,4,1,1,4,0,4,2,4,7,6,1
2,22,2,22,24,0,0,0,2,0,0,1,11,4,1,0,4,1,7,3,6,10,2,0
3,22,3,22,12,0,2,2,2,0,0,4,7,2,0,1,1,0,3,2,4,6,2,0
4,22,4,22,17,0,1,1,1,0,0,3,5,4,1,1,2,0,2,2,4,11,2,0
5,22,5,22,25,0,0,0,0,0,0,0,11,3,1,2,2,1,7,2,7,15,3,1
6,22,6,22,27,0,2,2,2,1,0,2,8,5,0,2,5,1,7,4,8,17,3,0
7,22,7,22,18,0,0,0,0,0,1,0,5,4,1,0,4,0,5,2,4,8,1,0
8,22,8,22,29,0,3,2,2,1,0,4,15,4,0,1,5,0,9,4,8,13,4,0
9,22,9,22,26,0,0,0,1,0,0,0,7,6,0,0,3,1,6,4,10,19,1,0
10,22,10,22,34,1,1,0,1,0,0,2,10,5,3,2,6,1,7,4,8,20,3,1
11,22,11,22,28,0,3,2,3,0,0,5,8,5,1,2,5,1,5,5,9,20,3,0
12,22,12,22,8,0,0,0,0,0,0,0,2,2,0,0,1,0,2,2,3,6,1,0
13,22,13,22,21,0,1,1,2,0,0,1,5,6,3,1,2,0,4,3,5,11,2,0
14,22,14,22,18,0,0,0,0,0,0,0,4,4,0,1,2,1,4,4,8,16,1,0
15,22,15,22,43,1,1,2,2,0,0,2,16,5,8,0,4,1,12,4,9,17,3,0
16,22,16,22,34,0,6,5,5,1,0,8,18,4,2,0,5,1,8,4,8,13,5,0
17,22,17,22,25,0,3,2,1,0,0,8,14,3,0,1,3,1,6,3,7,11,2,0
18,22,18,22,37,0,3,2,1,2,0,3,13,5,4,0,8,2,10,3,7,17,5,1
