feat1,feat2,feat3,feat4,feat5,feat6,feat7,feat8,feat9,feat10,feat11,feat12,feat13,feat14,feat15,feat16,feat17,feat18,feat19,feat20,feat21,feat22,feat23,class
10,32,8,25,13,0,3,3,1,0,0,5,7,3,0,0,1,1,3,2,4,6,4,1
11,32,8,25,42,0,1,1,2,0,0,3,17,6,2,3,3,2,13,5,11,22,3,1
12,32,9,25,17,0,2,2,1,0,0,4,6,4,1,0,1,1,4,3,5,10,5,0
13,32,10,25,50,0,4,4,1,2,0,9,18,8,3,2,8,1,11,6,12,27,5,0
14,32,11,25,46,1,6,5,1,0,1,8,20,6,2,2,7,0,11,5,11,22,2,0
15,32,12,25,34,0,3,4,2,0,1,9,18,4,3,0,4,2,9,4,6,9,5,0
16,32,12,25,13,1,0,0,0,0,0,0,5,1,0,0,3,0,5,1,2,3,3,0
17,32,13,25,16,0,1,1,1,1,0,0,7,1,3,2,1,0,5,1,5,11,2,0
18,32,14,25,31,0,0,0,0,1,0,0,7,8,2,1,4,1,6,5,10,22,3,0
19,32,15,25,19,0,0,0,1,0,0,0,7,3,2,0,1,0,6,3,8,12,2,0
20,32,16,25,28,0,2,1,1,0,0,3,10,4,3,2,2,0,6,4,9,18,4,0
21,32,17,25,26,0,1,1,1,1,1,3,8,6,0,2,3,1,6,5,9,16,3,0
22,32,18,25,7,0,1,1,0,0,0,2,4,1,0,0,0,0,2,1,3,4,1,0
23,32,19,25,30,0,0,0,0,0,0,0,10,5,3,1,4,1,7,5,10,20,2,0
24,32,20,25,27,0,1,1,0,0,0,2,10,4,1,1,3,0,6,4,8,15,2,0
25,32,21,25,26,0,1,1,0,1,0,2,9,3,6,0,2,0,7,3,6,11,2,0
26,32,22,25,29,0,4,2,1,0,0,3,10,5,2,0,5,1,8,3,8,16,2,0
27,32,23,25,28,1,2,2,0,1,0,5,12,2,5,0,3,2,7,2,6,12,3,0
28,32,24,25,28,1,3,2,0,0,0,9,14,3,5,0,3,0,7,3,5,7,1,0
29,32,24,25,11,0,1,1,2,0,0,1,3,1,2,1,1,0,2,1,2,5,2,0
30,32,25,25,26,0,3,3,1,1,0,7,13,2,0,1,2,1,7,2,6,10,2,0
31,32,25,25,11,0,0,0,0,1,0,0,4,2,1,0,2,0,4,2,2,4,3,0
32,32,25,25,10,0,1,1,0,0,0,1,3,2,2,0,1,0,2,1,3,7,1,0
1,38,1,23,31,0,4,3,3,0,0,9,16,5,2,0,2,0,8,4,9,15,5,0
2,38,2,23,40,0,1,0,0,1,1,1,11,9,2,1,5,1,10,6,13,25,6,1
3,38,2,23,18,0,0,0,0,0,0,0,2,4,4,1,1,0,2,4,6,13,2,0
4,38,3,23,19,0,3,3,1,0,4,5,9,2,0,0,2,0,5,2,3,9,4,0
5,38,3,23,27,0,0,0,1,0,2,0,8,4,3,1,3,1,7,4,5,12,3,0
6,38,4,23,35,0,5,4,3,0,0,9,14,6,4,0,2,1,9,5,11,19,6,0
7,38,4,23,34,0,2,0,0,0,0,5,13,5,5,0,5,2,10,4,7,14,2,0
8,38,5,23,33,0,2,1,1,1,0,1,12,6,1,1,4,1,8,6,9,18,3,0
9,38,6,23,31,0,1,1,1,1,0,2,9,6,3,1,4,0,7,4,9,15,2,0
